Tag,Text,Author,About_link,Goodreads Page Link,Inside Quote Tags
love,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,https://quotes.toscrape.com/author/Andre-Gide,http://goodreads.com/author/show/7617.Andr_Gide,"life, love"
love,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe,"friends, heartbreak, inspirational, life, love, sisters"
love,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,http://goodreads.com/author/show/25241.Bob_Marley,love
love,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,https://quotes.toscrape.com/author/Elie-Wiesel,http://goodreads.com/author/show/1049.Elie_Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy"
love,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,https://quotes.toscrape.com/author/Friedrich-Nietzsche,http://goodreads.com/author/show/1938.Friedrich_Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage"
love,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,https://quotes.toscrape.com/author/Pablo-Neruda,http://goodreads.com/author/show/4026.Pablo_Neruda,"love, poetry"
love,"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe,"girls, love"
love,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe,love
love,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,https://quotes.toscrape.com/author/James-Baldwin,http://goodreads.com/author/show/10427.James_Baldwin,love
love,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen,"friendship, love"
love,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis,love
love,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,https://quotes.toscrape.com/author/Alfred-Tennyson,http://goodreads.com/author/show/13638502.Alfred_Tennyson,"friendship, love"
love,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen,"humor, love, romantic, women"
love,“To die will be an awfully big adventure.”,J.M. Barrie,https://quotes.toscrape.com/author/J-M-Barrie,http://goodreads.com/author/show/5255014.J_M_Barrie,"adventure, love"
inspirational,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein,"inspirational, life, live, miracle, miracles"
inspirational,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe,"be-yourself, inspirational"
